PI,%S,%FA,M,A/B,Na/Al,Si/Al, UCS
14.07,20,0,12,0.65,1.34,1.55,13.6
14.07,20,0,12,0.65,1.34,1.58,14.24
14.07,20,0,12,0.65,1.34,1.62,14.7
14.07,20,0,12,0.65,1.34,1.65,15.01
14.07,20,0,12,0.65,1.34,1.75,14.93
14.07,20,0,12,0.65,1.34,1.85,15.27
14.07,20,0,12,0.65,1.34,1.92,14.72
14.07,20,0,12,0.65,1.34,1.99,13.38
14.07,20,0,14.5,0.65,1.52,1.49,12.57
14.07,20,0,14.5,0.65,1.52,1.52,13.54
14.07,20,0,14.5,0.65,1.52,1.56,13.38
14.07,20,0,14.5,0.65,1.52,1.6,13.73
14.07,20,0,14.5,0.65,1.52,1.64,13.7
14.07,20,0,14.5,0.65,1.52,1.67,14.01
14.07,20,0,14.5,0.65,1.52,1.79,14.06
14.07,20,0,14.5,0.65,1.52,1.9,14.03
14.07,20,0,14.5,0.65,1.52,1.98,14.65
14.07,20,0,14.5,0.65,1.52,2.06,14.82
